id;log_date;log_time_from;log_time_to;permission_hours;details
1;2022-05-30T05:36:06;2022-05-29T16:35:35;2022-05-29T19:48:36;19249;transparent Dollar disintermediate
2;2022-05-30T08:41:22;2022-05-30T08:45:24;2022-05-30T07:08:42;64289;circuit enterprise
3;2022-05-30T09:21:59;2022-05-29T20:48:23;2022-05-29T19:14:08;33242;productize Account
4;2022-05-30T00:52:40;2022-05-29T15:49:33;2022-05-30T08:18:40;64091;Games
5;2022-05-30T05:06:35;2022-05-30T11:13:51;2022-05-30T02:23:24;33880;world-class blue metrics
6;2022-05-29T16:25:10;2022-05-29T19:25:46;2022-05-30T00:38:05;47752;Architect system Incredible
7;2022-05-29T20:06:26;2022-05-30T11:11:58;2022-05-30T02:17:03;70192;Loan
8;2022-05-29T16:54:05;2022-05-30T05:08:27;2022-05-30T02:49:16;294;Papua
9;2022-05-30T02:01:57;2022-05-30T00:19:40;2022-05-29T20:04:50;72869;Shirt Grocery
10;2022-05-30T06:02:19;2022-05-30T15:20:59;2022-05-30T01:54:53;31147;SDD input HDD
