id;code;desc_en;desc_ar
1;index Wisconsin Harbor;invoice Indiana redundant;Loan USB invoice
2;Tools Automotive;lime compelling middleware;Chips Sol
3;cultivate Berkshire;Dynamic multimedia drive;South Object-based Savings
4;JBOD Berkshire;azure El;Bacon emulation
5;Movies sticky distributed;District paradigm;alarm Borders
6;Books Dynamic compress;e-business Small;Handcrafted copy Program
7;multi-byte blue;Station;Towels Developer
8;Director;Group Computers;deposit
9;Lira Shoes program;Avon;project overriding
10;24/365 Pakistan;Delaware;array Sharable SSL
